,Unnamed: 0,file,Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context,area,area_coor
267353,267353,metropolitan-street.csv,8ddc68291111e895eead0251d6d6494d6821009395f3477e141bd4c360f9f113,2018-09,Metropolitan Police Service,Metropolitan Police Service,0.101171,51.537774,On or near Lambourne Gardens,E01000042,Barking and Dagenham 017B,Bicycle theft,Under investigation,,Barking and Dagenham,"51.54444845241576,0.12830302489019063"
267352,267352,metropolitan-street.csv,8ddc68291111e895eead0251d6d6494d6821009395f3477e141bd4c360f9f113,2018-09,Metropolitan Police Service,Metropolitan Police Service,0.101171,51.537774,On or near Lambourne Gardens,E01000042,Barking and Dagenham 017B,Bicycle theft,Under investigation,,Barking and Dagenham,"51.54444845241576,0.12830302489019063"
11619,11619,metropolitan-street.csv,8e55017ecd34eb645507daac449fc7715af92ecf6e94401d7ea3a24c47215981,2016-02,Metropolitan Police Service,Metropolitan Police Service,-0.06325800000000001,51.500137,On or near Butterfield Close,E01004023,Southwark 004D,Bicycle theft,Offender given a caution,,Southwark,"51.4886738403799,-0.07960500688836059"
11617,11617,metropolitan-street.csv,8e55017ecd34eb645507daac449fc7715af92ecf6e94401d7ea3a24c47215981,2016-02,Metropolitan Police Service,Metropolitan Police Service,-0.06325800000000001,51.500137,On or near Butterfield Close,E01004023,Southwark 004D,Bicycle theft,Status update unavailable,,Southwark,"51.4886738403799,-0.07960500688836059"
73614,73614,metropolitan-street.csv,8ee830ba34bc343af8a8660242729dc721a0294bd0d6c4dc83d72db4206b4868,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.27808,51.531823,On or near Rainsford Road,E01000600,Brent 027E,Bicycle theft,Status update unavailable,,Brent,"51.54918472638431,-0.25241500488599294"
73611,73611,metropolitan-street.csv,8ee830ba34bc343af8a8660242729dc721a0294bd0d6c4dc83d72db4206b4868,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.27808,51.531823,On or near Rainsford Road,E01000600,Brent 027E,Bicycle theft,Status update unavailable,,Brent,"51.54918472638431,-0.25241500488599294"
249016,249016,metropolitan-street.csv,8f24734d166c3fa15ff1cf6a36d8bc5a16bd2058f138c90c2d927573347eba1a,2018-07,Metropolitan Police Service,Metropolitan Police Service,-0.285145,51.556772,On or near Stadium Way,E01033424,Brent 017F,Bicycle theft,Under investigation,,Brent,"51.54918472638431,-0.25241500488599294"
249017,249017,metropolitan-street.csv,8f24734d166c3fa15ff1cf6a36d8bc5a16bd2058f138c90c2d927573347eba1a,2018-07,Metropolitan Police Service,Metropolitan Police Service,-0.285145,51.556772,On or near Stadium Way,E01033424,Brent 017F,Bicycle theft,Under investigation,,Brent,"51.54918472638431,-0.25241500488599294"
132189,132189,metropolitan-street.csv,8f80bc03081405ba7924f07a87f59a441d7d030c83e7b3779c2860cbf901b53b,2017-05,Metropolitan Police Service,Metropolitan Police Service,-0.07735299999999999,51.526394,On or near Calvert Avenue,E01033706,Hackney 027F,Bicycle theft,Investigation complete; no suspect identified,,Hackney,"51.54545751868495,-0.06844133632836444"
132187,132187,metropolitan-street.csv,8f80bc03081405ba7924f07a87f59a441d7d030c83e7b3779c2860cbf901b53b,2017-05,Metropolitan Police Service,Metropolitan Police Service,-0.07735299999999999,51.526394,On or near Calvert Avenue,E01033706,Hackney 027F,Bicycle theft,Status update unavailable,,Hackney,"51.54545751868495,-0.06844133632836444"
